,mean,std
support_mean_c535,0.4677516670111112,
support_mean_c539,0.5789028502222222,
support_mean_c54,0.4836197292222223,
support_mean_c540,0.956983492827778,
support_mean_c543,1.1456628076666666,
support_mean_c546,2.140797568111111,
support_mean_c549,0.4095067293333333,
support_mean_c550,0.5916954007777777,
support_mean_c551,0.47741883576111116,
support_mean_c552,0.5227827809333334,
support_mean_c554,0.4818955299333334,
support_mean_c556,1.295549170888889,
support_mean_c557,1.0758375945555554,
support_mean_c56,1.137040372888889,
support_mean_c561,0.6976697521755556,
support_mean_c562,0.3704137897111111,
support_mean_c563,0.8699791598888889,
support_mean_c568,0.8928427115555555,
support_mean_c572,0.8253781167777777,
support_mean_c575,0.9815704475555557,
support_mean_c577,0.7197793909444445,
support_mean_c58,0.46241786165555554,
support_mean_c581,0.4706133693555555,
support_mean_c582,0.9058444917777778,
support_mean_c583,0.7079066911111112,
support_mean_c585,0.5115794282333332,
support_mean_c586,1.2417304332777777,
support_mean_c588,0.48091888185555565,
support_mean_c59,0.3861499797777779,
support_mean_c593,0.5080868004777777,
support_mean_c595,0.6733504765999999,
support_mean_c597,0.4169674331777778,
support_mean_c6,1.26747181,
support_mean_c60,0.49230502532777776,
support_mean_c601,0.6233131099222221,
support_mean_c603,0.6546828679777777,
support_mean_c606,0.6649989112111112,
support_mean_c609,0.3932098105,
support_mean_c61,0.7066037412666667,
support_mean_c612,1.5920383427777778,
support_mean_c613,0.8562910848333333,
support_mean_c62,0.7825056405555554,
support_mean_c620,0.9012786506666667,
support_mean_c621,1.765566513666667,
support_mean_c623,0.8052143432222222,
support_mean_c626,1.238561544222222,
support_mean_c629,4.936515964444445,
support_mean_c63,0.5223309476111112,
support_mean_c630,0.6017714530483333,
support_mean_c631,0.4553049910222222,
support_mean_c632,0.9467892095555556,
support_mean_c635,0.4360122216444444,
support_mean_c636,0.4590449441666666,
support_mean_c637,0.7003850392666666,
support_mean_c638,0.4703871173333334,
support_mean_c649,1.4752918948888891,
support_mean_c65,1.0941354663333334,
support_mean_c650,1.081298958,
support_mean_c651,0.8704558406666667,
support_mean_c652,0.9213335142222222,
support_mean_c653,0.43216344639777776,
support_mean_c656,0.5378848062222222,
support_mean_c659,0.5055919861111111,
support_mean_c66,0.5416768315773334,
support_mean_c663,0.6174076869555555,
support_mean_c664,0.7336756375244445,
support_mean_c665,0.6297320554444444,
support_mean_c667,0.9324605872222221,
